cpu_usage,memory_usage,net_io,disk_io,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,latency_ms,throughput,cost,utilization,target
33.91,55.33,394.36,262.03,GCP,eu-west-1,c5.2xlarge,8,16,0.34,65.77,1754.12,157.5096,44.62,no_action
10.25,7.78,37.97,29.51,GCP,us-east-1,t3.medium,2,4,0.0464,137.69,1252.06,13.705,9.02,scale_down
98.71,92.91,640.11,821.08,GCP,us-east-1,t3.micro,2,1,0.0116,246.28,1790.16,6.6827,95.81,scale_up
63.38,57.95,261.02,104.51,GCP,eu-west-1,t3.micro,2,1,0.0116,324.3,849.19,1.1148,60.66,no_action
75.46,97.43,617.75,645.91,AWS,us-west-2,c5.2xlarge,8,16,0.34,140.66,1112.81,159.5862,86.44,scale_up
78.42,97.0,1373.89,658.45,Azure,us-east-1,t3.medium,2,4,0.0464,302.26,1333.42,5.8971,87.71,scale_up
64.69,46.88,241.55,289.66,AWS,us-west-2,c5.2xlarge,8,16,0.34,96.26,189.77,188.8152,55.79,no_action
83.89,91.57,797.12,639.84,AWS,eu-west-1,c5.2xlarge,8,16,0.34,240.64,1330.71,229.3574,87.73,scale_up
81.56,87.85,551.43,597.82,AWS,us-west-2,c5.2xlarge,8,16,0.34,300.44,675.15,188.7972,84.7,scale_up
48.58,58.2,339.31,164.92,AWS,us-east-1,c5.2xlarge,8,16,0.34,42.59,164.75,0.9119,53.39,no_action
46.24,33.66,466.93,84.2,GCP,us-west-2,t3.large,2,8,0.0928,475.37,897.55,12.4455,39.95,no_action
21.72,19.12,98.06,45.17,Azure,us-east-1,t3.large,2,8,0.0928,325.1,1389.42,3.5354,20.42,no_action
27.76,5.42,56.79,45.77,Azure,ap-south-1,t3.medium,2,4,0.0464,21.8,1397.87,9.9664,16.59,no_action
22.35,1.65,45.51,26.12,Azure,eu-west-1,t3.medium,2,4,0.0464,324.05,1303.83,12.2133,12.0,no_action
15.91,13.23,40.45,28.62,AWS,us-west-2,m5.xlarge,4,16,0.192,402.97,1081.42,91.5322,14.57,scale_down
18.48,6.99,2.44,43.5,GCP,us-east-1,c5.2xlarge,8,16,0.34,15.53,1750.66,129.644,12.73,scale_down
76.32,72.66,537.6,587.87,Azure,eu-west-1,t3.large,2,8,0.0928,292.47,550.66,26.6678,74.49,no_action
62.95,30.13,286.92,124.25,Azure,eu-west-1,t3.micro,2,1,0.0116,427.15,1433.95,4.925,46.54,no_action
77.74,81.75,624.44,873.85,AWS,us-west-2,t3.micro,2,1,0.0116,400.0,525.38,4.9204,79.74,scale_up
22.3,1.95,40.16,41.89,GCP,us-east-1,t3.large,2,8,0.0928,119.13,1662.98,8.1222,12.13,no_action
79.66,93.39,850.13,334.71,GCP,us-east-1,t3.large,2,8,0.0928,484.71,1768.73,61.9954,86.52,scale_up
87.88,84.74,1496.34,838.46,AWS,us-east-1,t3.medium,2,4,0.0464,234.37,1249.65,24.9966,86.31,scale_up
34.12,65.1,206.24,82.38,AWS,ap-south-1,t3.micro,2,1,0.0116,444.93,1911.75,7.2021,49.61,no_action
22.06,8.44,25.26,0.25,Azure,ap-south-1,t3.micro,2,1,0.0116,349.38,107.08,4.4537,15.25,no_action
96.28,84.85,980.59,655.44,AWS,ap-south-1,c5.2xlarge,8,16,0.34,413.22,702.14,166.0878,90.57,scale_up
15.64,26.04,24.53,7.87,AWS,us-east-1,t3.large,2,8,0.0928,84.4,674.68,16.019,20.84,no_action
63.87,36.34,452.35,267.96,GCP,ap-south-1,c5.2xlarge,8,16,0.34,19.48,1653.38,31.8435,50.11,no_action
0.03,16.69,75.66,12.93,AWS,us-west-2,t3.large,2,8,0.0928,100.6,177.36,21.8735,8.36,scale_down
90.85,86.2,1279.85,364.19,AWS,ap-south-1,t3.micro,2,1,0.0116,381.71,1087.12,8.0433,88.52,scale_up
23.66,5.21,77.09,47.36,Azure,us-west-2,m5.xlarge,4,16,0.192,87.36,1544.26,98.0089,14.44,no_action
96.31,99.7,1176.05,567.57,GCP,us-west-2,t3.micro,2,1,0.0116,325.55,1192.85,3.2111,98.01,scale_up
51.99,60.82,373.32,161.48,Azure,us-east-1,c5.2xlarge,8,16,0.34,140.45,1994.28,104.5243,56.4,no_action
67.17,41.93,435.98,243.21,AWS,eu-west-1,c5.2xlarge,8,16,0.34,118.88,271.36,212.5446,54.55,no_action
25.72,28.94,76.01,22.11,AWS,us-east-1,m5.xlarge,4,16,0.192,159.42,648.28,100.1971,27.33,no_action
91.29,81.06,1364.36,583.93,AWS,eu-west-1,t3.medium,2,4,0.0464,484.26,379.2,29.0251,86.17,scale_up
22.83,18.79,13.12,1.63,Azure,eu-west-1,c5.2xlarge,8,16,0.34,460.82,1237.13,195.0615,20.81,no_action
57.33,39.9,323.37,106.39,GCP,us-west-2,t3.micro,2,1,0.0116,84.61,1306.52,2.7299,48.62,no_action
30.52,32.9,257.0,169.98,Azure,ap-south-1,t3.medium,2,4,0.0464,302.01,590.41,23.2321,31.71,no_action
87.01,73.15,742.05,892.0,GCP,us-east-1,t3.micro,2,1,0.0116,75.54,1002.79,5.1673,80.08,scale_up
28.24,2.17,53.42,44.13,AWS,us-west-2,m5.xlarge,4,16,0.192,45.84,1650.78,49.5858,15.2,no_action
92.33,94.64,541.18,702.23,GCP,eu-west-1,t3.medium,2,4,0.0464,476.02,257.2,29.9458,93.49,scale_up
88.53,91.27,1370.97,728.45,GCP,us-east-1,t3.micro,2,1,0.0116,401.86,685.51,6.8076,89.9,scale_up
14.43,1.22,16.4,21.93,GCP,us-west-2,t3.large,2,8,0.0928,363.79,1190.62,43.4825,7.82,scale_down
99.4,80.11,682.12,773.82,AWS,eu-west-1,t3.micro,2,1,0.0116,331.06,1001.41,4.6436,89.75,scale_up
54.41,49.73,132.61,150.82,Azure,us-west-2,t3.medium,2,4,0.0464,114.18,842.62,6.8381,52.07,no_action
12.48,25.39,62.88,36.77,AWS,us-west-2,m5.xlarge,4,16,0.192,385.02,1014.64,75.1936,18.93,no_action
84.89,88.19,1097.72,775.77,AWS,ap-south-1,t3.large,2,8,0.0928,329.23,1984.35,19.0325,86.54,scale_up
67.62,39.43,410.4,151.33,Azure,us-east-1,c5.2xlarge,8,16,0.34,302.92,1268.76,91.4866,53.53,no_action
14.77,7.42,87.07,22.27,Azure,us-east-1,t3.medium,2,4,0.0464,259.83,724.87,19.8282,11.09,scale_down
7.74,19.7,32.52,38.67,Azure,us-east-1,t3.micro,2,1,0.0116,69.78,1939.94,3.7964,13.72,scale_down
44.89,47.95,367.76,86.44,GCP,eu-west-1,t3.large,2,8,0.0928,227.47,1179.89,63.3853,46.42,no_action
57.25,44.27,313.4,245.45,GCP,ap-south-1,t3.micro,2,1,0.0116,354.17,898.27,7.2195,50.76,no_action
99.67,73.69,731.13,331.02,Azure,us-east-1,m5.xlarge,4,16,0.192,321.8,457.16,25.0421,86.68,scale_up
31.87,35.93,494.65,291.28,AWS,us-east-1,t3.large,2,8,0.0928,7.45,1904.11,42.7369,33.9,no_action
88.04,80.28,1032.24,375.44,Azure,eu-west-1,t3.micro,2,1,0.0116,70.69,295.65,7.8501,84.16,scale_up
2.82,20.18,44.38,43.41,Azure,ap-south-1,m5.xlarge,4,16,0.192,92.69,1388.33,115.8921,11.5,no_action
81.1,94.93,1364.61,761.11,Azure,us-west-2,t3.medium,2,4,0.0464,60.99,1593.07,30.695,88.01,scale_up
47.72,56.05,142.64,214.46,Azure,eu-west-1,t3.micro,2,1,0.0116,499.71,105.94,8.1616,51.89,no_action
2.71,8.66,10.91,32.53,AWS,ap-south-1,t3.micro,2,1,0.0116,383.77,1852.09,3.6661,5.69,scale_down
13.07,24.54,12.02,27.22,GCP,us-east-1,t3.medium,2,4,0.0464,7.85,655.93,12.2721,18.8,no_action
56.84,51.83,277.77,53.67,Azure,ap-south-1,c5.2xlarge,8,16,0.34,295.6,345.2,157.4241,54.33,no_action
68.85,50.76,291.67,56.41,GCP,us-east-1,t3.medium,2,4,0.0464,173.92,766.59,13.3518,59.81,no_action
47.75,51.98,398.75,228.87,Azure,ap-south-1,c5.2xlarge,8,16,0.34,263.01,1646.56,105.6685,49.86,no_action
47.1,37.89,291.67,98.64,Azure,us-east-1,c5.2xlarge,8,16,0.34,87.33,1238.53,128.2133,42.49,no_action
56.14,33.59,387.05,149.98,AWS,eu-west-1,t3.large,2,8,0.0928,488.48,1648.12,34.9544,44.86,no_action
61.91,34.28,326.92,114.14,GCP,eu-west-1,m5.xlarge,4,16,0.192,481.65,972.26,111.4577,48.09,no_action
75.06,89.14,1015.18,656.12,AWS,us-west-2,t3.micro,2,1,0.0116,397.9,1296.75,1.4693,82.1,scale_up
10.6,7.11,78.05,13.74,AWS,us-west-2,t3.micro,2,1,0.0116,412.19,853.24,5.5792,8.85,scale_down
85.6,74.59,735.24,821.56,Azure,ap-south-1,t3.medium,2,4,0.0464,239.08,1075.36,5.9996,80.09,scale_up
54.6,39.28,256.36,198.62,Azure,eu-west-1,c5.2xlarge,8,16,0.34,250.9,1975.69,33.6941,46.94,no_action
50.06,58.98,106.33,135.27,GCP,eu-west-1,c5.2xlarge,8,16,0.34,410.26,1210.41,82.7785,54.52,no_action
97.35,75.76,823.37,435.99,GCP,ap-south-1,c5.2xlarge,8,16,0.34,180.72,148.15,127.2294,86.56,scale_up
88.5,96.4,1150.88,619.77,AWS,ap-south-1,t3.medium,2,4,0.0464,165.55,672.67,22.3816,92.45,scale_up
62.88,48.61,124.06,190.57,GCP,us-west-2,m5.xlarge,4,16,0.192,479.02,358.85,95.4458,55.74,no_action
49.02,62.87,100.49,125.21,Azure,ap-south-1,t3.micro,2,1,0.0116,490.71,955.02,3.202,55.95,no_action
93.43,93.06,743.66,702.94,Azure,ap-south-1,m5.xlarge,4,16,0.192,51.0,521.52,108.9603,93.24,scale_up
37.17,32.52,147.06,106.84,AWS,ap-south-1,t3.micro,2,1,0.0116,174.13,768.01,2.9001,34.85,no_action
47.86,47.89,340.24,178.92,AWS,us-east-1,t3.micro,2,1,0.0116,460.1,998.96,8.2866,47.88,no_action
3.49,24.52,38.06,43.9,GCP,ap-south-1,c5.2xlarge,8,16,0.34,434.69,1613.79,193.4708,14.01,no_action
31.03,36.15,189.45,289.33,GCP,us-east-1,m5.xlarge,4,16,0.192,288.66,1866.13,79.5922,33.59,no_action
14.61,18.19,76.48,8.74,GCP,us-east-1,c5.2xlarge,8,16,0.34,253.77,803.34,36.1226,16.4,scale_down
52.77,39.3,131.99,244.18,GCP,ap-south-1,c5.2xlarge,8,16,0.34,65.41,1192.64,229.2644,46.04,no_action
91.02,76.48,1119.59,690.12,GCP,us-east-1,m5.xlarge,4,16,0.192,80.25,132.09,107.9746,83.75,scale_up
63.94,54.78,218.94,157.58,AWS,us-west-2,t3.medium,2,4,0.0464,89.48,158.51,26.1584,59.36,no_action
57.81,55.33,191.56,108.16,Azure,ap-south-1,t3.large,2,8,0.0928,114.3,355.77,43.8448,56.57,no_action
13.49,5.84,36.78,20.71,Azure,us-east-1,t3.medium,2,4,0.0464,414.63,1469.89,25.7116,9.67,scale_down
65.57,53.29,372.39,97.42,GCP,eu-west-1,t3.medium,2,4,0.0464,311.38,653.77,27.8801,59.43,no_action
28.79,14.64,10.97,27.4,AWS,us-east-1,c5.2xlarge,8,16,0.34,229.92,1690.27,24.3173,21.71,no_action
7.3,19.55,81.07,30.7,GCP,ap-south-1,t3.medium,2,4,0.0464,430.48,790.86,31.9475,13.43,scale_down
9.46,20.64,43.76,12.73,AWS,ap-south-1,t3.micro,2,1,0.0116,421.23,86.47,7.5327,15.05,no_action
70.28,55.47,345.57,66.66,Azure,eu-west-1,c5.2xlarge,8,16,0.34,261.61,308.84,180.6131,62.87,no_action
75.95,92.39,1159.04,781.28,Azure,us-east-1,t3.micro,2,1,0.0116,57.16,80.79,4.2534,84.17,scale_up
29.12,28.27,78.38,17.74,Azure,us-west-2,t3.medium,2,4,0.0464,209.0,1103.74,27.7544,28.7,no_action
99.2,78.86,1269.22,674.8,GCP,eu-west-1,t3.medium,2,4,0.0464,194.06,419.32,4.096,89.03,scale_up
53.86,31.68,487.4,249.68,GCP,us-east-1,m5.xlarge,4,16,0.192,149.95,1960.14,83.2805,42.77,no_action
19.69,3.84,33.83,46.4,Azure,ap-south-1,c5.2xlarge,8,16,0.34,116.18,750.61,105.9655,11.77,scale_down
81.84,97.85,1175.98,597.63,GCP,us-east-1,m5.xlarge,4,16,0.192,11.29,1984.91,92.885,89.85,scale_up
93.88,83.82,1342.0,737.09,AWS,eu-west-1,t3.micro,2,1,0.0116,389.34,1315.76,1.4914,88.85,scale_up
62.76,34.32,374.12,72.97,AWS,us-west-2,t3.large,2,8,0.0928,482.74,981.9,10.1464,48.54,no_action
56.57,50.33,219.02,191.26,AWS,us-west-2,m5.xlarge,4,16,0.192,346.0,1747.91,88.0307,53.45,no_action
30.42,39.87,390.58,297.95,Azure,ap-south-1,c5.2xlarge,8,16,0.34,54.09,808.97,195.9253,35.14,no_action
24.45,18.45,68.79,18.76,AWS,us-west-2,t3.large,2,8,0.0928,271.65,1053.08,56.6773,21.45,no_action
6.07,28.74,36.79,16.35,GCP,ap-south-1,t3.medium,2,4,0.0464,78.7,618.15,29.2929,17.41,no_action
58.95,61.22,186.88,84.46,GCP,ap-south-1,c5.2xlarge,8,16,0.34,333.21,13.74,43.945,60.08,no_action
65.74,33.72,335.28,170.24,GCP,us-west-2,t3.medium,2,4,0.0464,322.95,139.06,19.3956,49.73,no_action
66.22,40.79,430.02,174.56,GCP,ap-south-1,m5.xlarge,4,16,0.192,43.14,126.52,46.3329,53.51,no_action
15.52,13.21,14.75,16.41,GCP,us-east-1,t3.medium,2,4,0.0464,219.84,186.31,7.4064,14.36,scale_down
27.99,19.28,42.12,31.81,Azure,eu-west-1,t3.large,2,8,0.0928,393.9,245.49,27.443,23.64,no_action
56.45,37.38,244.89,133.63,Azure,eu-west-1,m5.xlarge,4,16,0.192,17.97,58.14,115.0061,46.91,no_action
23.48,1.68,85.27,11.28,GCP,us-east-1,c5.2xlarge,8,16,0.34,191.57,928.85,117.9023,12.58,no_action
36.01,33.22,391.18,174.12,GCP,ap-south-1,c5.2xlarge,8,16,0.34,221.24,1461.72,187.4773,34.62,no_action
14.16,0.4,28.27,2.23,AWS,eu-west-1,m5.xlarge,4,16,0.192,22.96,558.68,38.2397,7.28,scale_down
64.95,32.61,295.03,58.4,GCP,eu-west-1,t3.medium,2,4,0.0464,36.01,1813.81,4.6918,48.78,no_action
2.59,7.1,73.24,27.42,GCP,us-east-1,m5.xlarge,4,16,0.192,68.35,1765.45,54.5067,4.85,scale_down
74.08,35.8,390.06,97.8,GCP,us-east-1,t3.medium,2,4,0.0464,172.44,624.31,31.641,54.94,no_action
78.78,76.76,750.97,810.37,AWS,us-east-1,m5.xlarge,4,16,0.192,282.81,1051.55,16.0356,77.77,no_action
92.7,86.31,581.73,574.98,GCP,eu-west-1,t3.medium,2,4,0.0464,244.92,339.89,31.5964,89.5,scale_up
48.53,56.04,318.17,65.57,GCP,us-west-2,t3.micro,2,1,0.0116,258.69,1614.74,3.8418,52.28,no_action
81.47,74.94,830.22,754.05,Azure,us-east-1,t3.large,2,8,0.0928,262.1,417.71,58.6644,78.2,scale_up
16.81,22.52,55.8,27.63,GCP,eu-west-1,m5.xlarge,4,16,0.192,51.61,693.89,39.181,19.66,no_action
50.33,45.9,137.36,160.27,Azure,us-west-2,t3.medium,2,4,0.0464,101.83,381.58,3.1836,48.11,no_action
82.81,89.28,695.84,838.17,AWS,ap-south-1,m5.xlarge,4,16,0.192,262.49,900.73,77.198,86.04,scale_up
27.18,8.31,98.35,7.04,Azure,ap-south-1,t3.medium,2,4,0.0464,105.0,376.61,29.8713,17.75,no_action
57.69,33.34,452.97,250.9,Azure,us-east-1,m5.xlarge,4,16,0.192,255.08,1934.58,57.8631,45.51,no_action
37.47,65.28,271.0,90.56,AWS,us-west-2,c5.2xlarge,8,16,0.34,11.24,1123.91,129.2681,51.37,no_action
93.29,75.62,1358.18,791.44,GCP,us-west-2,t3.micro,2,1,0.0116,272.69,1423.38,2.6334,84.45,scale_up
